img it12-r it12-or it12-o it12-oy it12-y it12-gy it12-g it12-gb it12-b it12-pb it12-p it12-pr
nirp_berchem_bolmg_1937_5 2928 1549 139520 0 0 0 0 0 5932 0 0 0
nirp_berchem_br10 0 62577 154330 0 0 0 0 0 0 0 0 0
nirp_berchem_eastg_1594 45636 101226 76407 0 0 0 0 0 0 0 0 0
nirp_berchem_eu_702 30780 60737 57968 5444 0 0 0 0 0 0 0 0
nirp_berchem_eu_703 8606 165641 49154 0 0 0 0 0 0 0 0 0
nirp_berchem_eu_734 0 0 0 0 0 0 35833 176379 0 0 0 0
nirp_berchem_hasmg_960_53 0 56874 123106 0 0 0 0 0 0 0 0 0
nirp_berchem_k1090 32896 184563 0 0 0 0 0 0 0 0 0 0
nirp_berchem_k2402 152856 65541 0 0 0 0 0 0 0 0 0 2056
nirp_berchem_leamg_a386_1953 43037 190153 0 0 0 0 0 0 0 0 0 0
nirp_berchem_ncm_1953_104 90309 86295 20097 0 0 0 0 0 0 0 0 0
nirp_berchem_ntsb13 14664 39116 67093 0 0 0 0 3758 0 0 0 0
nirp_berchem_nwhcm_1991_1_1_f 42774 194828 0 0 0 0 0 0 0 0 0 0
nirp_berchem_op31 3753 233067 0 0 0 0 0 0 0 0 0 0
nirp_berchem_plymm_061 0 104669 111847 0 0 0 0 0 0 0 0 0
nirp_berchem_rocdg_1230 0 0 32146 115363 30465 0 0 0 0 0 0 0
nirp_berchem_som_hm_a112 30850 161956 31345 0 0 0 0 0 0 0 0 0
nirp_berchem_som_hm_a291 2035 198052 24760 0 0 0 0 0 0 0 0 0
nirp_berchem_som_hm_a56 58391 171311 0 0 0 0 0 0 0 0 0 0
nirp_berchem_som_hm_a7 99057 99498 0 0 0 0 0 0 0 0 0 0
nirp_berchem_souag_b43 0 24995 108911 11929 0 0 0 0 0 0 0 0
nirp_berchem_twcms_b8413 0 247120 0 0 0 0 0 0 0 0 0 0
nirp_berchem_twcms_b8415 0 165643 61426 0 0 0 0 0 0 0 0 0
nirp_berchem_twcms_b9989 0 172378 8935 0 0 0 901 0 0 0 0 0
nirp_berchem_va_pc_2006bh7540 0 0 55379 45004 15398 8597 9159 0 0 0 0 0
nirp_berchem_va_pc_2006bh7542 0 24850 76030 12646 0 0 2577 2287 0 0 0 0
nirp_berchem_va_pc_2006bh7619 0 0 72068 82463 13142 0 0 0 0 0 0 0
nirp_berchem_va_pc_2006bh7747 0 0 49879 70081 27641 0 0 0 0 0 0 0
nirp_berchem_va_pc_2006bh7829 0 0 13982 58274 57169 0 0 0 0 0 0 0
nirp_berchem_va_pc_2006bh7869 0 23446 106010 48042 5893 0 0 0 0 0 0 0
nirp_berchem_va_pc_2007bn5322 0 0 60671 60680 37297 6798 0 0 0 0 0 0
nirp_berchem_va_pc_2007bn6050 0 0 27174 86698 38380 0 0 0 0 0 0 0
nirp_berchem_va_pc_2007bp0859 0 0 0 0 0 53863 28568 18608 8630 0 0 0
nirp_berchem_va_pc_2007bp0898 0 0 0 0 0 20400 38155 11424 16147 4233 0 0
nirp_berchem_va_pc_2007bp1122 0 39785 111791 15750 0 0 0 0 0 0 0 0
nirp_berchem_va_pc_2007bp1342 0 0 0 44999 93322 39929 0 0 0 0 0 0
nirp_botticelli_70_70 40114 101803 66036 0 0 0 0 0 0 0 0 0
nirp_botticelli_brm_bifa_43_10 40324 100525 27891 0 0 0 0 0 0 0 0 0
nirp_botticelli_k1659 8927 33229 86553 11955 24718 0 0 0 0 0 0 0
nirp_botticelli_twcms_f6124 0 109929 37040 15985 0 0 0 0 0 0 0 0
nirp_botticelli_twcms_g1941 55787 153217 0 0 0 0 0 0 0 0 0 0
nirp_botticelli_va_pc_2006aj4912 687 196214 8601 0 0 0 0 0 0 0 0 0
nirp_boudin_1_12 0 0 19639 0 0 12453 65274 53117 0 0 0 0
nirp_boudin_180 0 17297 196014 0 0 0 0 0 0 0 0 0
nirp_boudin_1977_653 0 0 7876 18221 15009 22999 35660 32374 0 0 0 0
nirp_boudin_1977_654 0 0 0 11470 4362 4598 13196 30009 26116 4794 0 0
nirp_boudin_2378 14689 180233 0 0 0 0 0 0 0 0 0 0
nirp_boudin_2379 0 0 52900 3956 0 0 20545 49251 0 0 0 0
nirp_boudin_2916 0 22148 51378 0 0 0 20166 14142 0 0 0 0
nirp_boudin_352 0 179451 59221 0 0 0 0 0 0 0 0 0
nirp_boudin_3605 0 5893 97967 14885 0 0 0 12190 0 0 0 0
nirp_boudin_ag002293 0 0 0 0 0 0 0 5610 131593 9196 0 0
nirp_boudin_ag002623 0 0 0 1448 4856 49755 121864 0 0 0 0 0
nirp_boudin_bermg_1424 64512 7494 0 0 0 0 0 0 0 27817 26471 33753
nirp_boudin_bermg_1425 0 0 14268 0 0 0 0 63470 0 7823 6209 2910
nirp_boudin_b-m-1043 18198 88967 27527 0 0 0 0 28390 0 0 0 0
nirp_boudin_b-m-689 0 22570 30691 48675 41016 10644 0 0 0 0 0 0
nirp_boudin_b-m-697 0 0 0 0 0 4989 184154 24066 0 0 0 0
nirp_boudin_brm_bifa_51_1 0 111907 0 0 0 0 0 79724 0 0 0 0
nirp_boudin_fa000268 0 41631 0 0 0 0 0 119445 0 0 0 0
nirp_boudin_gla_hag_43457 0 87823 39452 4756 0 0 12514 0 0 0 0 0
nirp_boudin_k2924 0 0 0 90496 81340 21088 0 0 0 0 0 0
nirp_boudin_k4001 0 0 107921 100543 0 0 0 0 0 0 0 0
nirp_boudin_kirmg_180 346 14717 0 0 0 0 0 0 94159 20651 663 0
nirp_boudin_l_f121_1981_0_0 0 8510 206919 0 0 0 0 0 0 0 0 0
nirp_boudin_ncm_1975_36 0 49110 0 0 0 0 142907 0 0 0 0 0
nirp_boudin_scag_4_1986 0 22669 155517 9717 0 0 0 0 0 0 0 0
nirp_boudin_scag_45 0 0 51076 39937 24706 18094 0 0 0 0 0 0
nirp_canaletto_1314 0 103004 18171 0 0 0 70786 0 0 0 0 0
nirp_canaletto_182 0 10351 89219 17219 3408 19228 4586 0 0 0 0 0
nirp_canaletto_1899_4 6383 48584 0 0 0 0 0 0 109949 0 0 0
nirp_canaletto_1982-32-1-b-m 0 57107 23267 0 0 0 107987 0 0 0 0 0
nirp_canaletto_1982-32-2-b-m 0 53053 6072 0 0 0 111968 0 0 0 0 0
nirp_canaletto_2359 15397 67290 0 0 0 0 107667 0 0 0 0 0
nirp_canaletto_2741 0 45793 25190 0 0 0 93245 0 0 0 0 0
nirp_canaletto_551 0 0 64241 38416 9581 0 0 0 0 0 3147 0
nirp_canaletto_767 0 23779 11110 0 0 0 7453 121177 0 0 0 0
nirp_canaletto_a450 3448 23925 0 0 0 0 19882 2412 4030 17402 6037 5842
nirp_canaletto_a451 8848 37662 0 0 0 0 0 25657 15838 0 0 0
nirp_canaletto_batvg_p_1935_11 0 157233 0 0 0 0 0 23632 0 0 0 0
nirp_canaletto_brm_bifa_54_1 0 40782 133392 0 0 0 0 0 580 0 0 0
nirp_canaletto_cp_tr_150 49341 0 0 0 0 0 0 0 76256 23260 3033 0
nirp_canaletto_gla_hag_43504 0 70484 11362 0 0 0 99273 0 0 0 0 0
nirp_canaletto_k5269 0 43048 22998 2954 0 0 91278 0 0 0 0 0
nirp_canaletto_k5270 0 46879 22695 21586 0 19650 33803 0 0 0 0 0
nirp_canaletto_killm_1994_1242 0 70135 68473 34535 18638 0 0 0 0 0 0 0
nirp_canaletto_ncm_1890_1206 0 111485 0 0 0 0 67680 0 0 0 0 0
nirp_canaletto_pd1989_14 19501 40049 0 0 0 813 83490 0 0 0 0 0
nirp_canaletto_skipm_2006_1_135 0 111644 71387 0 0 0 0 0 0 0 0 0
nirp_canaletto_skipm_2006_1_27 23719 82356 85667 0 0 0 0 0 0 0 0 0
nirp_canaletto_skipm_2006_1_28 0 54135 112491 36698 0 0 0 0 0 0 0 0
nirp_canaletto_som_hm_a263 0 50608 36167 0 0 0 0 0 13942 0 0 0
nirp_canaletto_souag_b42 0 117263 32132 14063 3271 0 0 0 0 0 0 0
nirp_canaletto_twcms_b4949 35319 86806 0 0 0 2057 17884 0 0 0 0 0
nirp_canaletto_twcms_c186 0 48079 40597 0 2811 10219 30333 0 0 0 0 0
nirp_canaletto_twcms_c7353 0 10832 39753 15487 19520 12338 40960 0 0 0 0 0
nirp_canaletto_twcms_c7370 0 73308 76903 38797 0 0 0 0 0 0 0 0
nirp_canaletto_va_pc_2006bh7594 0 94501 3414 0 0 0 56675 0 0 0 0 0
nirp_canaletto_va_pc_2007bn4503b 0 2532 84596 37794 12119 0 0 0 0 0 0 0
nirp_canaletto_va_pc_2007bn5794 0 0 61042 39160 0 0 0 0 0 0 10819 0
nirp_canaletto_va_pc_2007bn6092 0 0 16441 83218 0 0 0 18603 0 0 0 0
nirp_canaletto_watmc_2004_361 0 0 0 90377 69958 15790 0 0 0 0 0 0
nirp_caravaggio_1_32 0 216898 13221 0 0 0 0 0 0 0 0 0
nirp_caravaggio_1872_1_3 0 45276 93901 13390 0 0 0 0 0 0 0 0
nirp_caravaggio_1962_139_1 62472 0 0 0 0 0 0 38501 28085 0 0 7296
nirp_caravaggio_batvg_p_1919_5 6324 201888 0 0 0 0 0 0 0 0 0 0
nirp_caravaggio_b-m-818 28053 136554 29992 0 0 0 0 0 0 0 0 0
nirp_caravaggio_bolmg_1999_127 14492 43378 0 0 0 0 0 0 43399 19222 1453 0
nirp_caravaggio_som_hm_a224 38037 0 0 0 0 0 0 0 181483 0 0 0
nirp_caravaggio_stigm_8024 0 13389 0 0 0 0 0 19237 120084 0 0 0
nirp_carlevariis_mnemg_00_1873_37 0 0 0 0 0 34743 114429 0 0 0 0 0
nirp_carlevariis_mnemg_00_1873_38 0 0 0 0 0 19050 147119 7870 0 0 0 0
nirp_carlevariis_va_pc_2006be8919 0 2513 24855 41668 91658 0 0 0 0 0 0 0
nirp_carlevariis_va_pc_2006be8920 0 0 17008 50278 0 0 63625 36633 0 0 0 0
nirp_carlevariis_va_pc_2006be8921 0 0 0 0 211614 12608 0 0 0 0 0 0
nirp_carlevariis_va_pc_2006bh7385 143788 72114 0 0 0 0 0 0 0 0 0 0
nirp_carlevariis_va_pc_2006bh7386 63389 169352 0 0 0 0 0 0 0 0 0 0
nirp_carlevariis_va_pc_2006bh7387 0 88569 0 0 0 0 12778 80874 0 0 0 0
nirp_carlevariis_va_pc_2006bh7446 20378 107377 78622 0 0 0 0 0 0 0 0 0
nirp_carlevariis_va_pc_2006bh7447 73563 134495 9174 0 0 0 0 0 0 0 0 0
nirp_carlevariis_va_pc_2006bh7849 0 60637 27321 21793 37780 8869 0 0 0 0 0 0
nirp_carlevariis_va_pc_2006bh7851 3876 81667 0 0 0 0 69559 0 0 0 0 0
nirp_carlevariis_va_pc_2006bh7853 0 111983 12883 0 0 0 27990 0 0 0 0 0
nirp_carlevariis_va_pc_2006bh7854 0 60886 11728 0 0 5015 0 49541 0 0 0 0
nirp_carlevariis_va_pc_2006bh7855 0 87721 12629 0 0 20277 25971 0 0 0 0 0
nirp_carlevariis_va_pc_2006bh7856 0 0 74791 9322 0 0 0 0 18317 53721 0 0
nirp_carlevariis_va_pc_2006bh7857 0 71609 5129 0 0 13612 55050 0 0 0 0 0
nirp_carlevariis_va_pc_2007bn4167 0 0 0 0 0 0 1950 107828 7016 0 0 0
nirp_carlevariis_va_pc_2007bn4168 0 0 171080 43461 0 0 0 0 0 0 0 0
nirp_carlevariis_va_pc_2007bn4169 0 0 0 0 0 33608 154801 0 0 0 0 0
nirp_carlevariis_va_pc_2007bn4171 0 236101 2920 0 0 0 0 0 0 0 0 0
nirp_carlevariis_va_pc_2007bn4172 0 250775 0 0 0 0 0 0 0 0 0 0
nirp_carlevariis_va_pc_2007bn4173 283 223219 0 0 0 0 0 0 0 0 0 0
nirp_carlevariis_va_pc_2007bn4174 0 0 41594 120784 27080 0 0 0 0 0 0 0
nirp_carlevariis_va_pc_2007bn4175 150466 98100 0 0 0 0 0 0 0 0 0 0
nirp_carlevariis_va_pc_2007bn4176 0 193458 40134 0 0 0 0 0 0 0 0 0
nirp_carlevariis_va_pc_2007bn4177 11876 0 27026 139540 0 0 0 0 0 0 0 0
nirp_carlevariis_va_pc_2007bn4178 2673 0 0 21795 34045 18810 0 46790 0 0 0 0
nirp_carlevariis_va_pc_2007bn4179 0 192503 49265 0 0 0 0 0 0 0 0 0
nirp_carlevariis_va_pc_2007bn4180 0 242704 0 0 0 0 0 0 0 0 0 0
nirp_carlevariis_va_pc_2007bn4181 34927 210030 0 0 0 0 0 0 0 0 0 0
nirp_carlevariis_va_pc_2007bn4182 0 241094 0 0 0 0 0 0 0 0 0 0
nirp_carlevariis_va_pc_2007bn4183 100439 6136 0 0 0 25012 11614 0 0 0 0 0
nirp_carlevariis_va_pc_2007bn4184 0 254357 0 0 0 0 0 0 0 0 0 0
nirp_carlevariis_va_pc_2007bn4185 0 201237 2675 0 0 0 0 0 0 0 0 0
nirp_carlevariis_va_pc_2007bn4186 36070 4352 0 3748 56338 54690 0 0 0 0 0 0
nirp_carlevariis_va_pc_2007bn4187 42989 198255 0 0 0 0 0 0 0 0 0 0
nirp_carlevariis_va_pc_2007bn4188 0 248571 0 0 0 0 0 0 0 0 0 0
nirp_carlevariis_va_pc_2007bn4189 0 248068 0 0 0 0 0 0 0 0 0 0
nirp_carlevariis_va_pc_2007bn4190 0 0 0 0 19706 110360 10210 0 0 0 0 0
nirp_carlevariis_va_pc_2007bn4191 10270 235847 0 0 0 0 0 0 0 0 0 0
nirp_carlevariis_va_pc_2007bn4192 34226 206470 0 0 0 0 0 0 0 0 0 0
nirp_carlevariis_va_pc_2007bn5321 1214 44501 34278 56253 10429 0 0 0 0 0 0 0
nirp_carlevariis_va_pc_2007bp1515 165748 77589 0 0 0 0 0 0 0 0 0 0
nirp_carlevariis_va_pc_2007bp1516 77578 169650 0 0 0 0 0 0 0 0 0 0
nirp_carlevariis_va_pc_2007bp1517 0 0 0 3669 71616 105189 0 0 0 0 0 0
nirp_carlevariis_va_pc_2007bp1518 0 201215 0 0 0 0 0 0 0 0 0 0
nirp_carlevariis_va_pc_2007bp1519 0 0 0 0 1044 61651 72169 0 0 0 0 0
nirp_carlevariis_va_pc_2007bp1520 0 0 0 7829 58380 39582 21208 0 0 0 0 0
nirp_carlevariis_va_pc_2007bp2400 4517 242521 0 0 0 0 0 0 0 0 0 0
nirp_carlevariis_va_pc_2007bp2401 0 250614 0 0 0 0 0 0 0 0 0 0
nirp_cuyp_1_40 0 0 31548 128113 22868 0 0 0 0 0 0 0
nirp_cuyp_1899_1_39 4500 0 0 26129 0 39092 41922 11807 0 0 0 0
nirp_cuyp_1933p319 0 206115 17475 0 0 0 0 0 0 0 0 0
nirp_cuyp_1974_492 0 85485 119072 0 0 0 0 0 0 0 0 0
nirp_cuyp_31 34392 50456 46663 0 0 0 0 0 0 0 10960 18166
nirp_cuyp_49_246 0 0 0 0 0 0 0 53891 125471 0 0 0
nirp_cuyp_70 0 56116 139753 0 0 0 0 0 0 0 0 0
nirp_cuyp_a1_120 49709 56143 0 0 0 16435 22361 0 0 0 0 0
nirp_cuyp_a1918 23653 206879 0 0 0 0 0 0 0 0 0 0
nirp_cuyp_a466 0 61772 77380 0 0 0 0 0 38671 0 0 0
nirp_cuyp_brm_bifa_59_5 94711 0 0 0 0 0 0 0 0 6184 19113 56144
nirp_cuyp_eu_727 0 73888 134170 0 0 0 0 0 0 0 0 0
nirp_cuyp_fa001097 0 29385 83176 3392 0 0 0 8792 0 0 0 0
nirp_cuyp_mnemg_bentlif_64_1897_112 0 4533 8058 7072 11921 24148 5836 19225 0 0 0 0
nirp_cuyp_som_hm_a245 138816 90843 0 0 0 0 0 0 0 0 0 0
nirp_cuyp_som_hm_a55 31170 204148 0 0 0 0 0 0 0 0 0 0
nirp_cuyp_som_hm_a85 29359 13454 0 0 0 0 13323 76167 0 0 0 0
nirp_cuyp_twcms_b6247 0 193004 40377 0 0 0 0 0 0 0 0 0
nirp_cuyp_twcms_b8409 0 0 0 0 50433 103885 38314 0 0 0 0 0
nirp_cuyp_va_pc_2006bh7783 0 0 96298 42386 21709 0 0 0 0 0 0 0
nirp_daubigny_1141 0 168150 71732 0 0 0 0 0 0 0 0 0
nirp_daubigny_1962p6 0 205226 18136 0 0 0 0 0 0 0 0 0
nirp_daubigny_2136 0 30774 190643 0 0 0 0 0 0 0 0 0
nirp_daubigny_2137 4809 121293 12354 0 0 0 0 0 13589 0 0 0
nirp_daubigny_332 0 46778 195704 0 0 0 0 0 0 0 0 0
nirp_daubigny_a1_241 0 0 3529 0 0 77773 73630 0 0 0 0 0
nirp_daubigny_ag003149 0 0 33388 23548 1060 0 0 0 38693 0 0 0
nirp_daubigny_bermg_1431 32787 42096 0 0 0 0 9415 75098 0 0 0 0
nirp_daubigny_brm_bifa_72_1 0 236720 0 0 0 0 0 0 0 0 0 0
nirp_daubigny_nwhcm_1949_136_f 9074 146728 0 0 0 0 0 0 0 0 0 0
nirp_daubigny_po_131 0 0 30051 59512 91117 0 0 0 0 0 0 0
nirp_daubigny_po_136 0 0 0 0 0 0 19706 86780 24760 0 0 0
nirp_daubigny_scag_14_1967 0 0 59820 33841 10825 29657 29628 0 0 0 0 0
nirp_delacroix_1873 0 0 6875 39461 71034 24020 2361 0 0 0 0 0
nirp_delacroix_1963p32 0 235962 0 0 0 0 0 0 0 0 0 0
nirp_delacroix_brm_bifa_53_1 4154 223248 0 0 0 0 0 0 0 0 0 0
nirp_delacroix_brm_bifa_62_1 0 225528 0 0 0 0 0 0 0 0 0 0
nirp_delacroix_k2873 0 194338 43422 0 0 0 0 0 0 0 0 0
nirp_delacroix_ncm_1980_195 0 52273 106436 0 0 0 0 0 0 0 0 0
nirp_delacroix_souag_b47 0 136349 41150 0 0 0 0 0 0 0 0 0
nirp_delacroix_va_pc_2006ag3572 7868 117241 53581 0 0 0 0 0 0 0 0 0
nirp_delacroix_va_pc_2006ag4483 0 67888 69542 49081 0 0 0 0 0 0 0 0
nirp_diaz_1114 37764 107620 56120 0 0 0 0 0 0 0 0 0
nirp_diaz_1117 0 6008 192352 0 0 0 0 0 0 0 0 0
nirp_diaz_1159 19584 105546 1919 0 0 0 0 0 43212 0 0 0
nirp_diaz_1_44 74756 147700 0 0 0 0 0 0 0 0 0 0
nirp_diaz_1939p642 0 229776 0 0 0 0 0 0 0 0 0 0
nirp_diaz_839 0 74376 145019 0 0 0 0 0 0 0 0 0
nirp_diaz_art00315 0 52939 172088 0 0 0 0 0 0 0 0 0
nirp_diaz_cp_tr141 5731 0 0 0 0 0 0 0 69222 62462 9567 1920
nirp_diaz_fa000722 0 0 42502 21478 19140 29877 27918 0 0 0 0 0
nirp_diaz_gr_39 0 0 0 0 0 0 10899 124064 9193 0 0 0
nirp_diaz_l_f7_1938_0_0 0 37712 110156 47973 0 0 0 0 0 0 0 0
nirp_diaz_po_138 0 0 0 3093 3338 20833 14349 26420 10247 0 0 0
nirp_diaz_stigm_8147 0 199925 30742 0 0 0 0 0 0 0 0 0
nirp_diaz_va_pc_2006ag3573 0 7960 38041 40115 10082 0 16170 0 0 0 0 0
nirp_diaz_va_pc_2006bh7518 0 0 17510 100758 27410 7142 0 0 0 0 0 0
nirp_diaz_va_pc_2006bh7591 0 15256 49234 37715 25338 13433 0 0 0 0 0 0
nirp_diaz_va_pc_2007bp0704 0 0 28224 85486 57892 0 0 0 0 0 0 0
nirp_dughet_1951p104 0 80182 35459 0 0 0 0 64945 0 0 0 0
nirp_dughet_596 0 0 37722 33165 12239 4797 0 8208 32447 0 0 0
nirp_dughet_a1_209 0 0 0 0 0 0 4538 52006 98605 0 0 0
nirp_dughet_bikgm_1277 36844 106735 0 0 0 0 35150 0 0 0 0 0
nirp_dughet_b-m-595 0 165715 16717 0 0 0 0 0 0 0 0 0
nirp_dughet_b-m-791 76619 66296 0 0 0 0 0 25229 0 0 0 0
nirp_dughet_bolmg_1898_3 0 0 218446 12206 0 0 0 0 0 0 0 0
nirp_dughet_bolmg_1940_4_4 0 0 2902 48944 40690 25277 30339 0 0 0 0 0
nirp_dughet_brm_bifa_69_8 0 46177 98672 4492 0 0 0 0 0 0 0 0
nirp_dughet_cp_tr372 72714 164157 0 0 0 0 0 0 0 0 0 0
nirp_dughet_eu_728 11259 98449 54979 0 0 0 0 0 0 0 0 0
nirp_dughet_fa000265 0 0 0 0 5065 10803 57754 54636 0 0 0 0
nirp_dughet_fa000266 0 0 21011 10892 0 0 13122 65960 0 0 0 0
nirp_dughet_harag_338 0 9513 28692 0 0 0 0 87455 11284 0 0 0
nirp_dughet_lcnug_1927_2251 0 57422 25800 18017 0 0 49331 0 0 0 0 0
nirp_dughet_lcnug_1927_2252 0 33656 45394 20910 0 0 40399 0 0 0 0 0
nirp_dughet_mnemg_00_1873_16 0 0 0 0 0 6738 141097 26496 0 0 0 0
nirp_dughet_o-79 48981 51119 0 0 0 0 0 36760 4814 0 0 0
nirp_dughet_op_0026 7372 109896 72780 0 0 0 0 0 0 0 0 0
nirp_dughet_scag_1_1959 8974 82000 94028 0 0 0 0 0 0 0 0 0
nirp_dughet_scag_1490 2746 109745 50962 0 0 0 0 0 0 0 0 0
nirp_dughet_som_hm_a225 7133 166759 45491 0 0 0 0 0 0 0 0 0
nirp_dughet_stigm_8148 0 69257 154791 0 0 0 0 0 0 0 0 0
nirp_dughet_stopm_kx_23 0 19697 102556 72915 0 0 0 0 0 0 0 0
nirp_dughet_stopm_kx_24 0 238712 0 0 0 0 0 0 0 0 0 0
nirp_dughet_stopm_kx_25 382 0 0 20079 14430 17722 0 5854 0 0 0 0
nirp_dughet_stopm_kx_26 0 0 7136 18054 49827 6615 3888 664 0 0 0 0
nirp_dughet_va_pc_2006bb5069 0 0 139346 63089 86 0 0 0 0 0 0 0
nirp_dughet_va_pc_2006bh7840 0 5640 55083 24906 16396 12429 13138 0 0 0 0 0
nirp_dughet_watmc_2004_162 0 25598 128296 0 0 0 0 0 0 0 0 0
nirp_dujardin_1_111a 0 230965 0 0 0 0 0 0 0 0 0 0
nirp_dujardin_34_13 0 119907 112170 0 0 0 0 0 0 0 0 0
nirp_dujardin_brm_bifa_67_2 0 45992 13840 0 0 8715 60788 0 0 0 0 0
nirp_dujardin_eu_719 0 158092 51857 0 0 0 0 0 0 0 0 0
nirp_dujardin_eu_720 0 210296 0 0 0 0 0 0 0 0 0 0
nirp_dujardin_fa000869 38186 174666 4703 0 0 0 0 0 0 0 0 0
nirp_dujardin_gla_hag_43738 0 222850 6805 0 0 0 0 0 0 0 0 0
nirp_dujardin_l_f201_1975_0_0 74392 38535 64895 2264 0 0 0 0 0 0 0 0
nirp_dujardin_som_hm_a116 5467 144356 25789 0 0 0 0 0 0 0 0 0
nirp_dujardin_som_hm_a129 0 158903 64160 0 0 0 0 0 0 0 0 0
nirp_dujardin_som_hm_a209 6234 65401 0 0 0 0 0 99856 0 0 0 0
nirp_dujardin_souag_b34 0 3255 198842 5812 0 0 0 0 0 0 0 0
nirp_dujardin_va_pc_2006bh7511 0 0 60554 53424 35042 155 427 0 0 0 0 0
nirp_dujardin_wm_1573_1948 40758 121660 0 0 0 0 0 19848 0 0 0 0
nirp_gauguin_2465 26272 82832 80607 0 0 0 0 0 0 0 0 0
nirp_gauguin_brm_bifa_48_12 0 83676 90563 0 0 0 0 0 0 0 0 0
nirp_gauguin_brm_bifa_49_9 0 112322 64583 0 3501 0 0 0 0 0 0 0
nirp_gauguin_twcms_c643 0 45569 59541 41315 10 0 0 0 0 0 0 0
nirp_goya_1973-88-b-m 26997 113365 0 0 0 0 0 23153 0 0 0 0
nirp_goya_b-m-14 18087 225519 0 0 0 0 0 0 0 0 0 0
nirp_goya_b-m-26 38781 30920 46042 48355 0 0 0 0 0 0 0 0
nirp_goya_b-m-29 11577 18682 0 0 0 0 0 90032 40315 0 0 0
nirp_goya_brm_bifa_40_5 0 153252 41428 0 0 0 0 0 0 0 0 0
nirp_goya_pc_24 0 87083 52454 0 0 0 0 27461 2219 0 0 0
nirp_goya_pc_27 0 72041 22564 0 0 0 0 53564 0 0 0 0
nirp_goya_wm_1566_1948 128279 84682 0 0 0 0 0 0 0 0 0 0
nirp_greco_b-m-642 12019 18179 53036 0 0 0 53902 0 0 0 0 0
nirp_greco_hhtp_2001_1_10 60795 181660 0 0 0 0 0 0 0 0 0 0
nirp_greco_pc_17 25803 56839 0 0 0 0 0 2065 53558 0 0 0
nirp_greco_pc_18 0 18126 36998 0 0 0 6267 12709 8562 0 0 0
nirp_hondecoeter_1899_1_41 0 157239 34078 0 0 0 0 0 0 0 0 0
nirp_hondecoeter_1900-1 0 0 0 2341 145876 46106 0 0 0 0 0 0
nirp_hondecoeter_190_1912 17637 46638 0 0 0 0 0 46796 9405 0 0 0
nirp_hondecoeter_1904-90 4249 221487 0 0 0 0 0 0 0 0 0 0
nirp_hondecoeter_1939-1 0 217009 9758 0 0 0 0 0 0 0 0 0
nirp_hondecoeter_26_1912 70942 5615 0 0 0 0 0 0 3554 11276 2170 40174
nirp_hondecoeter_b-m-904 111568 114426 0 0 0 0 0 0 0 0 0 0
nirp_hondecoeter_brm_bifa_2001_2 0 143927 25869 3247 17027 0 0 0 0 0 0 0
nirp_hondecoeter_twcms_b8426 0 119255 101922 0 0 0 0 0 0 0 0 0
